id;department_id;postal_code;name;insee_code;latitude;longitude
118;1;1120;La Boisse;1049;45.85;5.033333
119;1;1150;Lagnieu;1202;45.9;5.35
120;1;1130;Lalleyriat;1204;46.15;5.716667
121;1;1800;Le Montellier;1260;45.933333;5.066667
122;1;1130;Le Poizat;1300;46.15;5.7
123;1;1130;Les Neyrolles;1274;46.133333;5.633333
124;1;1150;Leyment;1213;45.916667;5.3
125;1;1450;Leyssard;1214;46.166667;5.466667
126;1;1360;Loyettes;1224;45.766667;5.2
127;1;1430;Maillat;1228;46.133333;5.55
128;1;1810;Martignat;1237;46.216667;5.6
129;1;1580;Matafelon-Granges;1240;46.266667;5.566667
130;1;1450;Mérignat;1242;46.066667;5.433333
131;1;1800;Meximieux;1244;45.9;5.2
132;1;1120;Montluel;1262;45.85;5.05
133;1;1460;Montréal-la-Cluse;1265;0;0
134;1;1130;Nantua;1269;46.15;5.616667
135;1;1120;Niévroz;1276;45.833333;5.066667
136;1;1460;Nurieux-Volognat;1267;0;0
137;1;1100;Oyonnax;1283;46.25;5.666667
138;1;1800;Pérouges;1290;45.9;5.183333
139;1;1430;Peyriat;1293;46.15;5.516667
140;1;1120;Pizay;1297;45.883333;5.083333
141;1;1450;Poncin;1303;46.083333;5.4
142;1;1460;Port;1307;46.166667;5.566667
143;1;1800;Rignieux-le-Franc;1325;45.933333;5.183333
144;1;1450;Saint-Alban;1331;46.1;5.45
145;1;1500;Saint-Denis-en-Bugey;1345;45.95;5.333333
146;1;1120;Sainte-Croix;1342;0;0
147;1;1150;Sainte-Julie;1366;45.883333;5.283333
148;1;1800;Saint-Eloi;1349;45.933333;5.15
149;1;1800;Saint-Jean-de-Niost;1361;45.833333;5.216667
150;1;1640;Saint-Jean-le-Vieux;1363;0;0
151;1;1430;Saint-Martin-du-Frêne;1373;46.133333;5.55
152;1;1800;Saint-Maurice-de-Gourdans;1378;45.816667;5.2
153;1;1500;Saint-Maurice-de-Rémens;1379;45.95;5.283333
154;1;1150;Saint-Sorlin-en-Bugey;1386;45.883333;5.366667
155;1;1150;Saint-Vulbas;1390;45.833333;5.283333
156;1;1580;Samognat;1392;46.25;5.583333
157;1;1150;Sault-Brénaz;1396;45.85;5.416667
158;1;1450;Serrières-sur-Ain;1404;46.15;5.45
159;1;1580;Sonthonnax-la-Montagne;1410;46.233333;5.533333
160;1;1150;Souclin;1411;45.866667;5.416667
161;1;1150;Vaux-en-Bugey;1431;45.916667;5.35
162;1;1150;Villebois;1444;45.85;5.433333
163;1;1800;Villieu-Loyes-Mollon;1450;0;0
164;1;1300;Ambléon;1006;45.75;5.6
165;1;1300;Andert-et-Condon;1009;45.8;5.65
166;1;1350;Anglefort;1010;45.916667;5.808333
167;1;1110;Aranc;1012;46;5.5
168;1;1230;Arandas;1013;45.9;5.483333
169;1;1300;Arbignieu;1015;45.733333;5.65
170;1;1230;Argis;1017;45.933333;5.483333
171;1;1510;Armix;1019;45.85;5.583333
172;1;1510;Artemare;1022;45.866667;5.7
173;1;1200;Bellegarde-sur-Valserine;1033;46.1;5.816667
174;1;1300;Belley;1034;45.766667;5.683333
175;1;1260;Belmont-Luthézieu;1036;0;0
176;1;1470;Bénonces;1037;45.833333;5.483333
177;1;1350;Béon;1039;45.833333;5.75
178;1;1200;Billiat;1044;46.066667;5.783333
179;1;1300;Brégnier-Cordon;1058;45.65;5.616667
180;1;1260;Brénaz;1059;45.95;5.716667
181;1;1110;Brénod;1060;46.066667;5.6
182;1;1300;Brens;1061;0;0
183;1;1470;Briord;1064;45.783333;5.466667
184;1;1170;Cessy;1071;46.316667;6.066667
185;1;1350;Ceyzérieu;1073;45.833333;5.733333
186;1;1230;Chaley;1076;45.95;5.533333
187;1;1630;Challex;1078;46.183333;5.966667
188;1;1260;Champagne-en-Valromey;1079;45.9;5.683333
189;1;1110;Champdor;1080;46.016667;5.6
190;1;1410;Champfromier;1081;46.2;5.816667
